+---------+---------------------+-------+---------+-------+------+-------+--------+--------+--------+------+
|  Name   |     Description     | IOPS  |  KiBps  | Cnf % | Dev% | iops  | KiBps  | lat ms | lat ms | lat  |
|         |                     |  cum  |   cum   |  95%  |      |  /vm  |  /vm   | median |  95%   | avg  |
+=========+=====================+=======+=========+=======+======+=======+========+========+========+======+
| hdd     | rrd   4k   1th  3vm |  4770 |   19100 |     3 |   10 |  1590 |   6370 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4960 |   19800 |     1 |    2 |  1650 |   6620 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4790 |   19100 |     1 |    2 |  1590 |   6390 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4850 |   19400 |     1 |    2 |  1610 |   6470 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  5320 |   21300 |     1 |    2 |  1770 |   7100 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4890 |   19500 |     1 |    2 |  1630 |   6520 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4810 |   19200 |     1 |    2 |  1600 |   6420 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 28100 |  112000 |     0 |    2 |  9370 |  37400 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 29400 |  117000 |     0 |    1 |  9820 |  39200 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 27900 |  111000 |     0 |    1 |  9320 |  37200 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 27000 |  108000 |     1 |    4 |  9010 |  36000 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 27600 |  110000 |     1 |    2 |  9200 |  36800 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 29500 |  118000 |     0 |    1 |  9830 |  39300 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 29600 |  118000 |     0 |    1 |  9880 |  39500 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 50400 |  201000 |     0 |    2 | 16800 |  67200 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 50100 |  200000 |     0 |    1 | 16700 |  66800 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 50100 |  200000 |     0 |    1 | 16700 |  66800 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 50400 |  201000 |     0 |    1 | 16800 |  67200 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 50200 |  201000 |     0 |    1 | 16700 |  67000 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 50800 |  203000 |     0 |    1 | 16900 |  67700 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 50600 |  202000 |     0 |    1 | 16800 |  67500 |      0 |      0 |    0 |
| hdd     | rrd   4k  15th  3vm | 59700 |  239000 |     0 |    2 | 19900 |  79600 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 59500 |  238000 |     0 |    1 | 19800 |  79300 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 59200 |  237000 |     0 |    1 | 19700 |  79000 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 48100 |  192000 |     0 |    1 | 16000 |  64200 |      0 |      1 |    0 |
