+---------+---------------------+------+--------+-------+------+------+--------+--------+--------+-----+
|  Name   |     Description     | IOPS | KiBps  | Cnf % | Dev% | iops | KiBps  | lat ms | lat ms | lat |
|         |                     | cum  |  cum   |  95%  |      | /vm  |  /vm   | median |  95%   | avg |
+=========+=====================+======+========+=======+======+======+========+========+========+=====+
| hdd     | rrd   4k   1th  1vm |  141 |    564 |     4 |   16 |  141 |    564 |      6 |     19 |   7 |
| hdd     | rrd   4k   1th  1vm |  190 |    761 |     2 |    9 |  190 |    761 |      1 |     18 |   5 |
| hdd     | rrd   4k   1th  1vm |  193 |    772 |     4 |   16 |  193 |    772 |      1 |     18 |   5 |
| hdd     | rrd   4k   1th  1vm |  141 |    567 |     1 |    5 |  141 |    567 |      6 |     19 |   7 |
| hdd     | rrd   4k   1th  1vm |  148 |    593 |     1 |    5 |  148 |    593 |      5 |     18 |   6 |
| hdd     | rrd   4k   1th  1vm |  151 |    604 |     1 |    5 |  151 |    604 |      5 |     18 |   6 |
| hdd     | rrd   4k   1th  1vm |  148 |    592 |     1 |    5 |  148 |    592 |      5 |     18 |   6 |
| hdd     | rrd   4k   5th  1vm |  750 |   3000 |     0 |    2 |  750 |   3000 |      6 |     18 |   6 |
| hdd     | rrd   4k   5th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |      6 |     18 |   6 |
| hdd     | rrd   4k   5th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |      6 |     17 |   6 |
| hdd     | rrd   4k   5th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |      6 |     18 |   6 |
| hdd     | rrd   4k   5th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |      6 |     18 |   6 |
| hdd     | rrd   4k   5th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |      6 |     18 |   6 |
| hdd     | rrd   4k   5th  1vm |  749 |   2990 |     0 |    1 |  749 |   2990 |      6 |     18 |   6 |
| hdd     | rrd   4k  10th  1vm |  750 |   3000 |     0 |    2 |  750 |   3000 |     14 |     36 |  13 |
| hdd     | rrd   4k  10th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     14 |     36 |  13 |
| hdd     | rrd   4k  10th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     14 |     36 |  13 |
| hdd     | rrd   4k  10th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     14 |     35 |  13 |
| hdd     | rrd   4k  10th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     14 |     35 |  13 |
| hdd     | rrd   4k  10th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     14 |     36 |  13 |
| hdd     | rrd   4k  10th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     14 |     35 |  13 |
| hdd     | rrd   4k  15th  1vm |  750 |   3000 |     0 |    2 |  750 |   3000 |     17 |     45 |  20 |
| hdd     | rrd   4k  15th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     17 |     45 |  19 |
| hdd     | rrd   4k  15th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     17 |     45 |  19 |
| hdd     | rrd   4k  15th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     17 |     45 |  19 |
| hdd     | rrd   4k  15th  1vm |  751 |   3000 |     0 |    1 |  751 |   3000 |     17 |     45 |  19 |
