+---------+---------------------+-------+---------+-------+------+-------+--------+--------+--------+-----+
|  Name   |     Description     | IOPS  |  KiBps  | Cnf % | Dev% | iops  | KiBps  | lat ms | lat ms | lat |
|         |                     |  cum  |   cum   |  95%  |      |  /vm  |  /vm   | median |  95%   | avg |
+=========+=====================+=======+=========+=======+======+=======+========+========+========+=====+
| hdd     | rrd   4k   1th  3vm |  4350 |   17400 |     1 |    5 |  1450 |   5800 |      0 |      0 |   1 |
| hdd     | rrd   4k   1th  3vm |  4490 |   17900 |     1 |    3 |  1490 |   5990 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  2830 |   11300 |     1 |    3 |   943 |   3770 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  3450 |   13800 |     1 |    3 |  1150 |   4600 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  4420 |   17700 |     1 |    2 |  1470 |   5900 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  4480 |   17900 |     1 |    2 |  1490 |   5980 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  4230 |   16900 |     1 |    2 |  1410 |   5640 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 24300 |   97400 |     1 |    2 |  8120 |  32400 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 26100 |  104000 |     0 |    1 |  8710 |  34800 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 24900 |   99800 |     0 |    1 |  8320 |  33200 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 24900 |   99900 |     0 |    1 |  8330 |  33300 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 25000 |  100000 |     0 |    1 |  8360 |  33400 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 25900 |  103000 |     0 |    1 |  8660 |  34600 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 26000 |  104000 |     0 |    1 |  8670 |  34700 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 43200 |  172000 |     0 |    2 | 14400 |  57600 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 43200 |  172000 |     0 |    1 | 14400 |  57600 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 43100 |  172000 |     0 |    1 | 14300 |  57500 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 43100 |  172000 |     0 |    1 | 14300 |  57500 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 47200 |  189000 |     0 |    1 | 15700 |  63000 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 43200 |  173000 |     0 |    1 | 14400 |  57700 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 43200 |  173000 |     0 |    1 | 14400 |  57600 |      0 |      0 |   0 |
| hdd     | rrd   4k  15th  3vm | 51700 |  206000 |     0 |    2 | 17200 |  68900 |      0 |      1 |   0 |
| hdd     | rrd   4k  15th  3vm | 51800 |  207000 |     0 |    1 | 17200 |  69000 |      0 |      1 |   0 |
| hdd     | rrd   4k  15th  3vm | 51800 |  207000 |     0 |    1 | 17200 |  69100 |      0 |      1 |   0 |
| hdd     | rrd   4k  15th  3vm | 51000 |  204000 |     0 |    1 | 17000 |  68000 |      0 |      1 |   0 |
