+---------+---------------------+-------+---------+-------+------+-------+--------+--------+--------+-----+
|  Name   |     Description     | IOPS  |  KiBps  | Cnf % | Dev% | iops  | KiBps  | lat ms | lat ms | lat |
|         |                     |  cum  |   cum   |  95%  |      |  /vm  |  /vm   | median |  95%   | avg |
+=========+=====================+=======+=========+=======+======+=======+========+========+========+=====+
| hdd     | rrd   4k   1th  3vm |  4800 |   19200 |     1 |    3 |  1600 |   6400 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  4830 |   19300 |     1 |    2 |  1610 |   6450 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  4830 |   19300 |     1 |    2 |  1610 |   6450 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  4820 |   19200 |     1 |    2 |  1600 |   6430 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  5430 |   21700 |     1 |    2 |  1810 |   7240 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  4800 |   19200 |     1 |    2 |  1600 |   6400 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  3vm |  4860 |   19400 |     1 |    2 |  1620 |   6480 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 28300 |  113000 |     0 |    2 |  9440 |  37700 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 29500 |  118000 |     0 |    1 |  9850 |  39400 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 28300 |  113000 |     0 |    1 |  9440 |  37700 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 28400 |  113000 |     0 |    0 |  9470 |  37900 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 28300 |  113000 |     0 |    1 |  9440 |  37700 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 29400 |  117000 |     0 |    1 |  9820 |  39300 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  3vm | 29500 |  118000 |     0 |    1 |  9840 |  39300 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 49600 |  198000 |     0 |    2 | 16500 |  66100 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 49900 |  199000 |     0 |    1 | 16600 |  66500 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 50300 |  201000 |     0 |    1 | 16700 |  67100 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 50000 |  200000 |     0 |    1 | 16600 |  66700 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 50700 |  202000 |     0 |    1 | 16900 |  67600 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 49800 |  199000 |     0 |    1 | 16600 |  66400 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  3vm | 49800 |  199000 |     0 |    1 | 16600 |  66400 |      0 |      0 |   0 |
| hdd     | rrd   4k  15th  3vm | 58900 |  235000 |     0 |    2 | 19600 |  78500 |      0 |      1 |   0 |
| hdd     | rrd   4k  15th  3vm | 59200 |  236000 |     0 |    1 | 19700 |  78900 |      0 |      1 |   0 |
| hdd     | rrd   4k  15th  3vm | 59300 |  237000 |     0 |    1 | 19700 |  79100 |      0 |      0 |   0 |
| hdd     | rrd   4k  15th  3vm | 48600 |  194000 |     0 |    1 | 16200 |  64800 |      0 |      1 |   0 |
