+---------+---------------------+------+--------+-------+------+------+--------+--------+--------+-----+
|  Name   |     Description     | IOPS | KiBps  | Cnf % | Dev% | iops | KiBps  | lat ms | lat ms | lat |
|         |                     | cum  |  cum   |  95%  |      | /vm  |  /vm   | median |  95%   | avg |
+=========+=====================+======+========+=======+======+======+========+========+========+=====+
| hdd     | rrd   4k   1th  1vm |  157 |    630 |     1 |    5 |  157 |    630 |      6 |     10 |   6 |
| hdd     | rrd   4k   1th  1vm |  158 |    632 |     1 |    5 |  158 |    632 |      6 |     10 |   6 |
| hdd     | rrd   4k   1th  1vm |  158 |    632 |     1 |    4 |  158 |    632 |      6 |     11 |   6 |
| hdd     | rrd   4k   1th  1vm |  157 |    631 |     1 |    4 |  157 |    631 |      6 |     11 |   6 |
| hdd     | rrd   4k   1th  1vm |  158 |    632 |     1 |    4 |  158 |    632 |      6 |     10 |   6 |
| hdd     | rrd   4k   1th  1vm |  155 |    623 |     2 |    6 |  155 |    623 |      6 |     11 |   6 |
| hdd     | rrd   4k   1th  1vm |  157 |    629 |     1 |    5 |  157 |    629 |      6 |     10 |   6 |
| hdd     | rrd   4k   5th  1vm |  246 |    984 |     2 |    6 |  246 |    984 |     12 |     75 |  21 |
| hdd     | rrd   4k   5th  1vm |  250 |   1000 |     1 |    4 |  250 |   1000 |     13 |     72 |  21 |
| hdd     | rrd   4k   5th  1vm |  250 |   1000 |     1 |    4 |  250 |   1000 |     12 |     73 |  21 |
| hdd     | rrd   4k   5th  1vm |  248 |    994 |     1 |    5 |  248 |    994 |     12 |     74 |  21 |
| hdd     | rrd   4k   5th  1vm |  249 |    999 |     1 |    5 |  249 |    999 |     12 |     74 |  21 |
| hdd     | rrd   4k   5th  1vm |  247 |    989 |     1 |    5 |  247 |    989 |     12 |     75 |  21 |
| hdd     | rrd   4k   5th  1vm |  250 |   1000 |     1 |    4 |  250 |   1000 |     12 |     74 |  21 |
| hdd     | rrd   4k  10th  1vm |  321 |   1280 |     1 |    4 |  321 |   1280 |     19 |     98 |  33 |
| hdd     | rrd   4k  10th  1vm |  322 |   1280 |     1 |    4 |  322 |   1280 |     19 |     98 |  33 |
| hdd     | rrd   4k  10th  1vm |  321 |   1280 |     1 |    4 |  321 |   1280 |     19 |     98 |  33 |
| hdd     | rrd   4k  10th  1vm |  323 |   1290 |     1 |    3 |  323 |   1290 |     19 |     98 |  33 |
| hdd     | rrd   4k  10th  1vm |  321 |   1280 |     1 |    4 |  321 |   1280 |     19 |     98 |  33 |
| hdd     | rrd   4k  10th  1vm |  322 |   1290 |     1 |    3 |  322 |   1290 |     19 |     98 |  33 |
| hdd     | rrd   4k  10th  1vm |  321 |   1280 |     1 |    4 |  321 |   1280 |     19 |     98 |  33 |
| hdd     | rrd   4k  15th  1vm |  353 |   1410 |     1 |    4 |  353 |   1410 |     27 |    181 |  47 |
| hdd     | rrd   4k  15th  1vm |  352 |   1410 |     1 |    4 |  352 |   1410 |     27 |    181 |  48 |
| hdd     | rrd   4k  15th  1vm |  351 |   1400 |     1 |    3 |  351 |   1400 |     27 |    184 |  48 |
| hdd     | rrd   4k  15th  1vm |  351 |   1400 |     1 |    3 |  351 |   1400 |     27 |    183 |  48 |
| hdd     | rrd   4k  15th  1vm |  351 |   1400 |     1 |    4 |  351 |   1400 |     27 |    181 |  47 |
