+---------+---------------------+-------+---------+-------+------+-------+--------+--------+--------+------+
|  Name   |     Description     | IOPS  |  KiBps  | Cnf % | Dev% | iops  | KiBps  | lat ms | lat ms | lat  |
|         |                     |  cum  |   cum   |  95%  |      |  /vm  |  /vm   | median |  95%   | avg  |
+=========+=====================+=======+=========+=======+======+=======+========+========+========+======+
| hdd     | rrd   4k   1th  3vm |  1640 |    6560 |     1 |    4 |   547 |   2180 |      0 |     12 |    1 |
| hdd     | rrd   4k   1th  3vm |  2120 |    8480 |     1 |    4 |   707 |   2820 |      0 |      7 |    1 |
| hdd     | rrd   4k   1th  3vm |  1980 |    7940 |     1 |    4 |   662 |   2640 |      0 |      9 |    1 |
| hdd     | rrd   4k   1th  3vm |  2450 |    9810 |     1 |    4 |   817 |   3270 |      0 |      2 |    0 |
| hdd     | rrd   4k   1th  3vm |  5400 |   21600 |     1 |    3 |  1800 |   7210 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  3770 |   15100 |     1 |    3 |  1250 |   5030 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  3730 |   14900 |     1 |    3 |  1240 |   4980 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 24500 |   98200 |     1 |    3 |  8190 |  32700 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 29500 |  118000 |     0 |    1 |  9830 |  39300 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 26600 |  106000 |     0 |    1 |  8890 |  35500 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 27000 |  108000 |     0 |    1 |  9030 |  36100 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 27300 |  109000 |     0 |    1 |  9120 |  36400 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 29300 |  117000 |     0 |    1 |  9770 |  39000 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 29400 |  117000 |     0 |    1 |  9820 |  39300 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 49400 |  197000 |     0 |    2 | 16400 |  65900 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 49400 |  197000 |     0 |    1 | 16400 |  65800 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 49600 |  198000 |     0 |    1 | 16500 |  66100 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 49300 |  197000 |     0 |    1 | 16400 |  65800 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 50900 |  203000 |     0 |    1 | 16900 |  67900 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 49100 |  196000 |     0 |    1 | 16300 |  65500 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 49800 |  199000 |     0 |    1 | 16600 |  66400 |      0 |      0 |    0 |
| hdd     | rrd   4k  15th  3vm | 58900 |  235000 |     0 |    2 | 19600 |  78500 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 58900 |  235000 |     0 |    1 | 19600 |  78500 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 58500 |  234000 |     0 |    1 | 19500 |  78000 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 46400 |  185000 |     0 |    1 | 15400 |  61900 |      0 |      1 |    0 |
