+---------+---------------------+-------+---------+-------+------+-------+--------+--------+--------+------+
|  Name   |     Description     | IOPS  |  KiBps  | Cnf % | Dev% | iops  | KiBps  | lat ms | lat ms | lat  |
|         |                     |  cum  |   cum   |  95%  |      |  /vm  |  /vm   | median |  95%   | avg  |
+=========+=====================+=======+=========+=======+======+=======+========+========+========+======+
| hdd     | rrd   4k   1th  3vm |  4760 |   19000 |     1 |    3 |  1580 |   6340 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4770 |   19000 |     1 |    4 |  1590 |   6360 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4330 |   17300 |     1 |    2 |  1440 |   5780 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4300 |   17200 |     1 |    2 |  1430 |   5740 |      0 |      1 |    0 |
| hdd     | rrd   4k   1th  3vm |  4310 |   17200 |     1 |    3 |  1430 |   5750 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4560 |   18200 |     1 |    2 |  1520 |   6080 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4320 |   17300 |     1 |    2 |  1440 |   5760 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 24200 |   96900 |     0 |    1 |  8070 |  32300 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 24800 |   99500 |     0 |    1 |  8290 |  33100 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 24300 |   97500 |     1 |    4 |  8120 |  32500 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 24700 |   98800 |     0 |    2 |  8230 |  32900 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 23400 |   93700 |     1 |    4 |  7810 |  31200 |      0 |      1 |    0 |
| hdd     | rrd   4k   5th  3vm | 25200 |  101000 |     0 |    2 |  8420 |  33600 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 23900 |   95700 |     0 |    1 |  7980 |  31900 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 43100 |  172000 |     0 |    1 | 14300 |  57500 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 40600 |  162000 |     0 |    1 | 13500 |  54100 |      0 |      1 |    0 |
| hdd     | rrd   4k  10th  3vm | 43200 |  172000 |     0 |    0 | 14400 |  57600 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 43200 |  173000 |     0 |    2 | 14400 |  57600 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 43200 |  172000 |     0 |    0 | 14400 |  57600 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 43000 |  172000 |     0 |    1 | 14300 |  57400 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 43300 |  173000 |     0 |    1 | 14400 |  57800 |      0 |      0 |    0 |
| hdd     | rrd   4k  15th  3vm | 52000 |  208000 |     0 |    0 | 17300 |  69300 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 53200 |  212000 |     0 |    2 | 17700 |  70900 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 51700 |  207000 |     0 |    0 | 17200 |  69000 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 53500 |  214000 |     0 |    0 | 17800 |  71400 |      0 |      1 |    0 |
