+---------+---------------------+-------+--------+-------+------+-------+--------+--------+--------+-----+
|  Name   |     Description     | IOPS  | KiBps  | Cnf % | Dev% | iops  | KiBps  | lat ms | lat ms | lat |
|         |                     |  cum  |  cum   |  95%  |      |  /vm  |  /vm   | median |  95%   | avg |
+=========+=====================+=======+========+=======+======+=======+========+========+========+=====+
| hdd     | rrd   4k   1th  1vm |  1260 |   5070 |     0 |    2 |  1260 |   5070 |      0 |      1 |   0 |
| hdd     | rrd   4k   1th  1vm |  1270 |   5100 |     0 |    2 |  1270 |   5100 |      0 |      1 |   0 |
| hdd     | rrd   4k   1th  1vm |  1270 |   5090 |     1 |    2 |  1270 |   5090 |      0 |      1 |   0 |
| hdd     | rrd   4k   1th  1vm |  1270 |   5080 |     1 |    2 |  1270 |   5080 |      0 |      1 |   0 |
| hdd     | rrd   4k   1th  1vm |  1260 |   5060 |     0 |    2 |  1260 |   5060 |      0 |      1 |   0 |
| hdd     | rrd   4k   1th  1vm |  1270 |   5100 |     1 |    2 |  1270 |   5100 |      0 |      1 |   0 |
| hdd     | rrd   4k   1th  1vm |  1260 |   5040 |     0 |    2 |  1260 |   5040 |      0 |      1 |   0 |
| hdd     | rrd   4k   5th  1vm |  6920 |  27600 |     0 |    2 |  6920 |  27600 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  1vm |  6930 |  27700 |     0 |    1 |  6930 |  27700 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  1vm |  6940 |  27700 |     0 |    1 |  6940 |  27700 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  1vm |  6930 |  27700 |     0 |    1 |  6930 |  27700 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  1vm |  6930 |  27700 |     0 |    1 |  6930 |  27700 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  1vm |  6920 |  27700 |     0 |    1 |  6920 |  27700 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  1vm |  6930 |  27700 |     0 |    1 |  6930 |  27700 |      0 |      0 |   0 |
| hdd     | rrd   4k  10th  1vm | 12200 |  49100 |     1 |    2 | 12200 |  49100 |      0 |      1 |   0 |
| hdd     | rrd   4k  10th  1vm | 12200 |  49000 |     0 |    1 | 12200 |  49000 |      0 |      1 |   0 |
| hdd     | rrd   4k  10th  1vm | 12100 |  48600 |     0 |    1 | 12100 |  48600 |      0 |      1 |   0 |
| hdd     | rrd   4k  10th  1vm | 12200 |  48900 |     0 |    1 | 12200 |  48900 |      0 |      1 |   0 |
| hdd     | rrd   4k  10th  1vm | 12200 |  49000 |     0 |    1 | 12200 |  49000 |      0 |      1 |   0 |
| hdd     | rrd   4k  10th  1vm | 12200 |  48900 |     0 |    1 | 12200 |  48900 |      0 |      1 |   0 |
| hdd     | rrd   4k  10th  1vm | 12200 |  49000 |     0 |    1 | 12200 |  49000 |      0 |      1 |   0 |
| hdd     | rrd   4k  15th  1vm | 14900 |  59700 |     1 |    2 | 14900 |  59700 |      0 |      1 |   1 |
| hdd     | rrd   4k  15th  1vm | 14800 |  59200 |     0 |    2 | 14800 |  59200 |      0 |      1 |   1 |
| hdd     | rrd   4k  15th  1vm | 14800 |  59300 |     0 |    1 | 14800 |  59300 |      0 |      1 |   1 |
| hdd     | rrd   4k  15th  1vm | 14900 |  59600 |     0 |    2 | 14900 |  59600 |      0 |      1 |   1 |
