+---------+---------------------+------+--------+-------+------+------+--------+--------+--------+-----+
|  Name   |     Description     | IOPS | KiBps  | Cnf % | Dev% | iops | KiBps  | lat ms | lat ms | lat |
|         |                     | cum  |  cum   |  95%  |      | /vm  |  /vm   | median |  95%   | avg |
+=========+=====================+======+========+=======+======+======+========+========+========+=====+
| hdd     | rrd   4k   1th  1vm | 1460 |   5860 |     1 |    3 | 1460 |   5860 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  1vm | 1450 |   5830 |     1 |    3 | 1450 |   5830 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  1vm | 1450 |   5800 |     1 |    2 | 1450 |   5800 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  1vm | 1460 |   5870 |     1 |    3 | 1460 |   5870 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  1vm | 1480 |   5950 |     1 |    2 | 1480 |   5950 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  1vm | 1470 |   5890 |     1 |    4 | 1470 |   5890 |      0 |      0 |   0 |
| hdd     | rrd   4k   1th  1vm | 1490 |   5970 |     1 |    2 | 1490 |   5970 |      0 |      0 |   0 |
| hdd     | rrd   4k   5th  1vm | 3000 |  12000 |     0 |    2 | 3000 |  12000 |      1 |      2 |   1 |
| hdd     | rrd   4k   5th  1vm | 3290 |  13100 |     9 |   35 | 3290 |  13100 |      1 |      2 |   1 |
| hdd     | rrd   4k   5th  1vm | 3320 |  13200 |     9 |   37 | 3320 |  13200 |      1 |      1 |   1 |
| hdd     | rrd   4k   5th  1vm | 3310 |  13200 |     9 |   36 | 3310 |  13200 |      1 |      1 |   1 |
| hdd     | rrd   4k   5th  1vm | 3310 |  13200 |     9 |   36 | 3310 |  13200 |      1 |      1 |   1 |
| hdd     | rrd   4k   5th  1vm | 3260 |  13000 |     8 |   34 | 3260 |  13000 |      1 |      1 |   1 |
| hdd     | rrd   4k   5th  1vm | 3260 |  13000 |     8 |   35 | 3260 |  13000 |      1 |      1 |   1 |
| hdd     | rrd   4k  10th  1vm | 3000 |  12000 |     0 |    2 | 3000 |  12000 |      3 |      3 |   3 |
| hdd     | rrd   4k  10th  1vm | 3270 |  13000 |    15 |   57 | 3270 |  13000 |      2 |      3 |   3 |
| hdd     | rrd   4k  10th  1vm | 3310 |  13200 |    15 |   59 | 3310 |  13200 |      2 |      3 |   3 |
| hdd     | rrd   4k  10th  1vm | 3320 |  13200 |    15 |   58 | 3320 |  13200 |      2 |      3 |   3 |
| hdd     | rrd   4k  10th  1vm | 3320 |  13300 |    15 |   59 | 3320 |  13300 |      2 |      3 |   3 |
| hdd     | rrd   4k  10th  1vm | 3320 |  13200 |    14 |   55 | 3320 |  13200 |      2 |      3 |   3 |
| hdd     | rrd   4k  10th  1vm | 3320 |  13200 |    15 |   59 | 3320 |  13200 |      2 |      3 |   3 |
| hdd     | rrd   4k  15th  1vm | 3000 |  12000 |     0 |    2 | 3000 |  12000 |      6 |      9 |   4 |
| hdd     | rrd   4k  15th  1vm | 3280 |  13100 |    17 |   66 | 3280 |  13100 |      6 |      9 |   4 |
| hdd     | rrd   4k  15th  1vm | 3330 |  13300 |    20 |   75 | 3330 |  13300 |      6 |      9 |   4 |
| hdd     | rrd   4k  15th  1vm | 3330 |  13300 |    20 |   75 | 3330 |  13300 |      6 |      9 |   4 |
