+---------+---------------------+-------+---------+-------+------+-------+--------+--------+--------+------+
|  Name   |     Description     | IOPS  |  KiBps  | Cnf % | Dev% | iops  | KiBps  | lat ms | lat ms | lat  |
|         |                     |  cum  |   cum   |  95%  |      |  /vm  |  /vm   | median |  95%   | avg  |
+=========+=====================+=======+=========+=======+======+=======+========+========+========+======+
| hdd     | rrd   4k   1th  3vm |  3980 |   15900 |     5 |   21 |  1320 |   5300 |      0 |      0 |    2 |
| hdd     | rrd   4k   1th  3vm |  1520 |    6100 |     7 |   26 |   506 |   2030 |      0 |      8 |    1 |
| hdd     | rrd   4k   1th  3vm |  4510 |   18000 |     9 |   37 |  1500 |   6000 |      0 |      0 |    3 |
| hdd     | rrd   4k   1th  3vm |  4610 |   18400 |     1 |    2 |  1530 |   6150 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4530 |   18100 |     0 |    2 |  1510 |   6050 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4750 |   19000 |     1 |    2 |  1580 |   6340 |      0 |      0 |    0 |
| hdd     | rrd   4k   1th  3vm |  4540 |   18100 |     1 |    2 |  1510 |   6060 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 26500 |  106000 |     0 |    1 |  8860 |  35400 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 25900 |  103000 |     0 |    1 |  8650 |  34600 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 26000 |  104000 |     0 |    1 |  8690 |  34700 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 25900 |  103000 |     0 |    0 |  8650 |  34600 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 26400 |  105000 |     0 |    1 |  8820 |  35200 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 25900 |  103000 |     0 |    2 |  8650 |  34600 |      0 |      0 |    0 |
| hdd     | rrd   4k   5th  3vm | 26400 |  105000 |     0 |    1 |  8810 |  35200 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 47500 |  190000 |     0 |    1 | 15800 |  63300 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 46100 |  184000 |     0 |    0 | 15300 |  61500 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 47500 |  190000 |     0 |    1 | 15800 |  63400 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 47500 |  190000 |     0 |    2 | 15800 |  63300 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 47500 |  190000 |     0 |    1 | 15800 |  63400 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 47400 |  189000 |     0 |    0 | 15800 |  63300 |      0 |      0 |    0 |
| hdd     | rrd   4k  10th  3vm | 47600 |  190000 |     0 |    1 | 15800 |  63500 |      0 |      0 |    0 |
| hdd     | rrd   4k  15th  3vm | 51800 |  207000 |     0 |    1 | 17200 |  69000 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 61800 |  247000 |     0 |    2 | 20600 |  82400 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 50800 |  203000 |     0 |    1 | 16900 |  67700 |      0 |      1 |    0 |
| hdd     | rrd   4k  15th  3vm | 62000 |  248000 |     0 |    1 | 20600 |  82700 |      0 |      1 |    0 |
