+---------+---------------------+-------+---------+-------+------+-------+---------+--------+--------+-----+
|  Name   |     Description     | IOPS  |  KiBps  | Cnf % | Dev% | iops  |  KiBps  | lat ms | lat ms | lat |
|         |                     |  cum  |   cum   |  95%  |      |  /vm  |   /vm   | median |  95%   | avg |
+=========+=====================+=======+=========+=======+======+=======+=========+========+========+=====+
| ceph    | rrd   4k   1th  1vm |   282 |    1120 |     2 |    8 |   282 |    1120 |      0 |     16 |   3 |
| ceph    | rrd   4k   5th  1vm |  1230 |    4930 |     1 |    4 |  1230 |    4930 |      0 |     19 |   4 |
| ceph    | rrd   4k  10th  1vm |  2110 |    8460 |     1 |    5 |  2110 |    8460 |      0 |     29 |   4 |
| ceph    | rrd   4k  15th  1vm |  3010 |   12000 |     1 |    6 |  3010 |   12000 |      0 |     33 |   5 |
| ceph    | rrd   4k  25th  1vm |  4840 |   19300 |     2 |   10 |  4840 |   19300 |      0 |     36 |   5 |
| ceph    | rrd   4k  40th  1vm |  7750 |   31000 |     3 |   13 |  7750 |   31000 |      0 |     37 |   5 |
| ceph    | rrd   4k  80th  1vm | 27400 |  109000 |    12 |   56 | 27400 |  109000 |      0 |     14 |   4 |
| ceph    | rrd   4k 120th  1vm | 66500 |  266000 |     0 |    2 | 66500 |  266000 |      1 |      7 |   1 |
| ------- | ------------------- |   --- |  ------ |   --- |  --- |   --- |  ------ |    --- |    --- | --- |
| ceph    | rrd  16m   1th  1vm |    64 | 1060000 |     1 |    4 |    64 | 1060000 |     14 |     19 |  15 |
| ceph    | rrd  16m   3th  1vm |   106 | 1730000 |     1 |    2 |   106 | 1730000 |     32 |     48 |  28 |
| ceph    | rrd  16m  10th  1vm |   108 | 1770000 |     1 |    3 |   108 | 1770000 |     90 |    231 |  95 |
| ------- | ------------------- |   --- |  ------ |   --- |  --- |   --- |  ------ |    --- |    --- | --- |
| ceph    | rwd   4k   1th  1vm |   875 |    3500 |     3 |   16 |   875 |    3500 |      0 |      1 |   1 |
| ------- | ------------------- |   --- |  ------ |   --- |  --- |   --- |  ------ |    --- |    --- | --- |
| ceph    | rwd  16m   1th  1vm |    30 |  505000 |     1 |    3 |    30 |  505000 |     35 |     48 |  32 |
| ceph    | rwd  16m   3th  1vm |    32 |  527000 |    11 |   53 |    32 |  527000 |     43 |    247 | 265 |
| ceph    | rwd  16m  10th  1vm |    31 |  516000 |    11 |   54 |    31 |  516000 |    171 |   1250 | 674 |
| ------- | ------------------- |   --- |  ------ |   --- |  --- |   --- |  ------ |    --- |    --- | --- |
| ceph    | rws   4k   1th  1vm |   951 |    3800 |     2 |    7 |   951 |    3800 |      0 |      1 |   1 |
| ceph    | rws   4k   5th  1vm |  1670 |    6700 |    15 |   70 |  1670 |    6700 |      0 |      1 |  25 |
| ceph    | rws   4k  10th  1vm |  1040 |    4170 |    19 |   91 |  1040 |    4170 |      1 |      1 | 163 |
| ceph    | rws   4k  15th  1vm |  1500 |    6000 |    16 |   77 |  1500 |    6000 |      1 |      2 |  78 |
| ceph    | rws   4k  25th  1vm |  1300 |    5200 |    21 |  100 |  1300 |    5200 |      1 |      3 | 204 |
| ceph    | rws   4k  40th  1vm |  1180 |    4700 |    23 |  119 |  1180 |    4700 |      1 |      8 | 350 |
+---------+---------------------+-------+---------+-------+------+-------+---------+--------+--------+-----+
